Date,Authorname,CentralBank,Role,position_in_fed,district,female,minority,federal_reserve,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19
1986-02-19,Paul A Volcker,Board of Governors of the Federal Reserve,Governor,Chair,Philadelphia,0.0,0.0,Board of Governors,-0.24109456,-0.046742357,0.47304386,-0.30087686,1.1123533,-0.8546902,-0.5074951,0.2726705,0.35895577,0.06781206,0.21487822,0.007708948,0.35967088,0.28702545,-0.17756563,-1.2173518,0.020540405,-0.19247323,-0.41127115,-0.4026098
1986-02-20,Robert P Forrestal,Federal Reserve Bank of Atlanta,Governor,President,Atlanta,0.0,0.0,Federal Reserve Bank of Atlanta,-0.30144566,0.005572229,1.0449601,-0.24277581,1.04398,0.4417531,-1.2395685,0.042290345,-0.16807392,0.44614744,-0.58176225,-1.2294198,0.9393333,0.51824445,0.3263897,0.062441405,0.2480015,0.84375423,-0.06277994,0.5499332
1986-02-26,Paul A Volcker,Board of Governors of the Federal Reserve,Governor,Chair,Philadelphia,0.0,0.0,Board of Governors,-0.37424642,0.16022988,0.17899045,-0.9866846,1.0390466,-0.27971023,0.44058686,0.40790647,1.3877544,0.13231663,0.06205332,0.97564644,0.4964071,-0.5053291,0.4033909,-1.8252683,0.095568396,0.34953055,-0.38651142,0.43686333
1986-03-05,Preston Martin,Board of Governors of the Federal Reserve,Deputy Governor,Vice Chair,San Francisco,0.0,0.0,Board of Governors,-0.28131977,0.24029222,-0.8101993,-0.007167905,-0.1042178,-0.51210755,-1.1742305,-0.4651601,-0.43954113,0.7697436,-1.4080174,0.38563335,-0.18169974,0.1815052,0.79799587,0.39228523,-0.6277391,-0.536794,-0.2807971,1.62837
1986-03-06,Martha Romayne Seger,Board of Governors of the Federal Reserve,Board member,Member,Chicago,1.0,0.0,Board of Governors,-0.26108116,0.6212299,-0.17511508,0.2888782,-0.7754196,0.16065897,-0.07148231,-1.0435811,-0.6374591,1.190543,-1.3904991,-0.9981431,0.14408861,-0.012324007,-0.1523873,0.19464025,1.1141124,1.3622218,-0.6273554,2.343666
1986-03-11,Thomas C Melzer,Federal Reserve Bank of St Louis,Governor,President,St. Louis,0.0,0.0,Federal Reserve Bank of St. Louis,-0.31158224,0.0025791577,-0.020171782,0.5664393,-0.09818335,-1.1266391,1.0259362,-0.80462664,0.058878027,-0.45823985,-0.8540366,0.4070453,0.06896701,-0.5111143,-0.9540609,-0.3441609,1.3042887,1.3935297,0.93949676,0.5371002
1986-03-11,Preston Martin,Board of Governors of the Federal Reserve,Deputy Governor,Vice Chair,San Francisco,0.0,0.0,Board of Governors,-0.332586,0.7707292,-0.25263494,0.28456533,0.29562378,-0.5589726,0.34742323,-0.94657236,0.38954765,0.8472028,-1.4500414,0.14265428,0.43265373,-1.6123357,-0.19754225,-0.45595935,0.6511876,1.3544503,-1.5158178,0.43218315
1986-03-13,Robert T Parry,Federal Reserve Bank of San Francisco,Governor,President,San Francisco,0.0,0.0,Federal Reserve Bank of San Francisco,0.35879046,-1.7875665,-3.6403399,2.3492827,3.6176639,-0.26976612,-4.1080966,-1.5293897,-4.0814943,-2.3656664,7.832455,5.7030835,11.465168,-4.663583,-4.0832934,2.0945165,-4.5608745,2.8501585,0.055501197,0.4565454
1986-03-19,Preston Martin,Board of Governors of the Federal Reserve,Deputy Governor,Vice Chair,San Francisco,0.0,0.0,Board of Governors,-0.24023855,-0.066384755,0.037583817,-0.7656719,1.0130452,-0.8950772,-1.0017468,-0.34163943,0.69506073,0.005224758,0.5669735,-0.9855386,0.7689108,0.8492577,1.0453466,-0.15010107,-0.33386075,0.60900307,0.7663748,0.50531685
1986-04-09,Preston Martin,Board of Governors of the Federal Reserve,Deputy Governor,Vice Chair,San Francisco,0.0,0.0,Board of Governors,-0.30797374,0.82617605,-0.24655874,-0.15102954,0.5879206,0.9144462,-0.14716174,0.1723177,-0.30314142,1.1239808,-1.5192665,-1.1292517,0.6043584,0.17146543,-0.5779398,0.15974985,-0.08243987,1.1358144,-0.21805288,-0.15101074
1986-04-15,Paul A Volcker,Board of Governors of the Federal Reserve,Governor,Chair,Philadelphia,0.0,0.0,Board of Governors,-0.24393208,-0.6555283,0.779599,-0.784839,-0.8086395,-1.3593026,-0.5300161,0.32114556,0.30051947,0.21901153,-0.02866631,-0.44065475,1.3952588,0.6805032,0.29705542,-0.7531745,-0.6314255,0.5402766,-0.4895554,0.0037362329
1986-04-22,Thomas C Melzer,Federal Reserve Bank of St Louis,Governor,President,St. Louis,0.0,0.0,Federal Reserve Bank of St. Louis,-0.23997797,-0.49428153,1.7504405,-0.095738225,0.5453841,-0.8946562,0.46024212,-0.4811404,-0.19534053,-0.096817315,0.74558204,0.73548234,-0.50704896,-0.9718221,0.13691086,0.22474177,0.94348377,1.1501724,0.4980169,0.048479583
1986-04-22,Wayne D Angell,Board of Governors of the Federal Reserve,Board member,Member,Kansas City,0.0,0.0,Board of Governors,-0.2185408,0.27217528,0.88789874,-0.4104125,0.6849486,-0.4551086,-0.67509896,-0.11754297,0.2439616,1.0057653,0.684914,-1.2358025,1.2148613,1.2163612,1.2249306,0.4530808,0.5863349,1.6942132,0.37972966,-0.08938631
