Date,Authorname,CentralBank,Role,position_in_fed,district,female,minority,federal_reserve,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19
1986-01-06,Robert P Forrestal,Federal Reserve Bank of Atlanta,Governor,President,Atlanta,0.0,0.0,Federal Reserve Bank of Atlanta,0.58462393,-0.7979782,-0.27158853,0.21905127,0.5994434,1.1519752,-0.5206802,-0.43486768,0.69115394,0.8336926,0.7917724,0.7571094,0.3854585,0.94881123,0.076945946,0.17460558,0.23868091,-0.05852377,-0.32068652,1.4528087
1986-01-08,Thomas C Melzer,Federal Reserve Bank of St Louis,Governor,President,St. Louis,0.0,0.0,Federal Reserve Bank of St. Louis,0.45442143,-1.1307294,-0.44607374,0.10053938,-0.28865686,-1.306309,0.44159192,-0.057094302,1.0430495,0.79548407,-0.14453827,0.19622752,0.85477155,-0.32530951,0.45023778,0.4974649,-0.25380304,-0.3348409,-0.34210983,0.57421595
1986-01-15,Robert P Forrestal,Federal Reserve Bank of Atlanta,Governor,President,Atlanta,0.0,0.0,Federal Reserve Bank of Atlanta,0.5834057,-0.14399464,0.12211894,0.5728766,-0.20927049,0.9190643,-2.4899595,-0.20770323,0.88546705,-0.1241569,1.3448696,0.5440317,-1.5409467,0.7127914,-1.1422938,0.62553793,0.35403264,-0.56664383,-0.6120236,0.18025191
1986-01-15,Robert P Forrestal,Federal Reserve Bank of Atlanta,Governor,President,Atlanta,0.0,0.0,Federal Reserve Bank of Atlanta,0.88875777,-0.8941902,-0.02874754,0.45975018,0.60161453,1.0550761,-0.7594787,-0.57033587,0.6396618,0.8191321,0.7901169,1.1037717,0.2552479,0.27503788,-0.16362633,0.82864594,0.6019302,-0.595634,-0.20717368,1.0628291
1986-01-16,Robert P Forrestal,Federal Reserve Bank of Atlanta,Governor,President,Atlanta,0.0,0.0,Federal Reserve Bank of Atlanta,0.22268404,-0.13904944,-0.60394454,0.84336257,0.37866724,-0.88615847,-0.91883504,-0.97463965,1.3287901,0.027018627,1.7146852,0.24520312,-1.3017572,3.0540195,-0.040770613,-0.5175768,0.24522641,-0.27245516,1.0202488,-0.9608719
1986-01-28,Emmett John Rice,Board of Governors of the Federal Reserve,Board member,Member,New York,0.0,1.0,Board of Governors,-0.21522199,0.8792361,-1.2283384,-0.2062885,0.15896435,-0.1598176,0.9421062,-0.91215193,1.7677857,1.8441155,-1.3418691,-0.06947298,-0.773712,0.47876588,0.15515544,0.86979824,-0.27259585,0.8558851,0.84849966,1.067359
1986-01-29,Paul A Volcker,Board of Governors of the Federal Reserve,Governor,Chair,Philadelphia,0.0,0.0,Board of Governors,-1.0935879,0.37700334,-0.53466684,-0.07759835,-0.56941813,0.21895447,1.7380346,0.5128882,2.5492551,1.5986813,0.532616,-0.14790748,-0.5280319,-0.960439,1.0932904,0.044464394,-0.18353023,-0.76483303,0.65156966,-2.2330525
1986-02-03,Robert P Forrestal,Federal Reserve Bank of Atlanta,Governor,President,Atlanta,0.0,0.0,Federal Reserve Bank of Atlanta,0.7456028,-0.7080272,-0.6106733,0.19139612,0.9534137,0.79864657,-0.20016426,-0.69471604,0.42241898,0.53042537,0.65007573,0.57417595,-0.09218727,-0.17440131,0.062332686,0.75614494,0.48044053,-0.43230438,-0.75991523,0.8015473
1986-02-05,Preston Martin,Board of Governors of the Federal Reserve,Deputy Governor,Vice Chair,San Francisco,0.0,0.0,Board of Governors,0.6143414,0.0061220163,-0.27144563,0.8608554,0.087037474,-1.5827246,-1.5735922,-0.32196137,0.8913475,-0.50396305,1.2695367,0.9811191,-0.83581096,1.4301542,0.85493994,-1.5705602,-0.77720284,-0.452968,-0.11217091,0.07493138
1986-02-18,Robert T Parry,Federal Reserve Bank of San Francisco,Governor,President,San Francisco,0.0,0.0,Federal Reserve Bank of San Francisco,-0.823463,0.21389587,3.1010969,2.42267,-3.3653777,1.436985,7.6430306,-4.3249083,2.0067666,-4.170808,2.3328717,7.97295,-4.6115994,-2.8682787,-7.296538,-3.18487,-1.3923361,3.5387747,-2.3946245,-0.9192007
1986-02-19,Paul A Volcker,Board of Governors of the Federal Reserve,Governor,Chair,Philadelphia,0.0,0.0,Board of Governors,0.23629238,-0.46446863,-0.5467399,0.8147489,0.3388638,-0.33934674,-0.26192296,-0.230203,0.67903984,0.7279899,1.0885156,1.1850061,-0.39097843,-0.3543794,0.65917504,-0.9922057,1.2454225,0.2109646,0.59007305,0.6598791
1986-02-20,Robert P Forrestal,Federal Reserve Bank of Atlanta,Governor,President,Atlanta,0.0,0.0,Federal Reserve Bank of Atlanta,0.84364396,-0.66243184,-0.3821913,0.66630673,0.48588148,0.055831537,-1.2117864,-1.1480094,1.1915166,0.6665197,1.1658269,0.7669338,-0.40013635,1.5077105,-0.86491483,0.3035131,0.93563217,-0.44600338,0.1997479,0.14071886
1986-02-26,Paul A Volcker,Board of Governors of the Federal Reserve,Governor,Chair,Philadelphia,0.0,0.0,Board of Governors,0.39738843,-0.48615387,-0.45068997,0.97124135,0.5087313,-0.08467893,0.7562173,0.6459258,0.23913226,1.7569894,1.536902,0.9390865,-0.02254312,-0.49697724,0.15015875,-0.70236534,0.85879517,0.9712309,0.7242169,1.1872808
1986-03-05,Preston Martin,Board of Governors of the Federal Reserve,Deputy Governor,Vice Chair,San Francisco,0.0,0.0,Board of Governors,0.4884936,0.61650693,0.676024,0.100992806,-0.1439083,-0.6101851,-0.37369728,-1.8012298,-0.024940493,1.7317549,0.42890504,-0.1410908,-0.47572643,-0.37165463,-0.16678436,-1.9779164,0.17838441,0.8465653,1.4948974,1.309837
