Date,Authorname,CentralBank,Role,position_in_fed,district,female,minority,federal_reserve,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19
1986-01-06,Robert P Forrestal,Federal Reserve Bank of Atlanta,Governor,President,Atlanta,0.0,0.0,Federal Reserve Bank of Atlanta,-2.52527,-0.5888824,-0.55371743,0.11150181,0.118546575,-0.1625765,-0.01631546,0.35272348,0.3977682,0.13494956,0.2903487,-0.059804812,-0.52479744,-0.12613347,-0.062113643,0.20695066,0.054539084,-0.043646216,-0.10273147,0.07635334
1986-01-08,Thomas C Melzer,Federal Reserve Bank of St Louis,Governor,President,St. Louis,0.0,0.0,Federal Reserve Bank of St. Louis,-1.8268207,1.0384941,1.2426057,-0.7207235,-0.50268364,-0.10078949,-0.32919264,-0.022694468,0.06839794,0.19338799,0.10343248,-0.07968159,-0.28260177,0.12001707,-0.05269,-0.00830543,0.08288646,-0.24803051,0.3377365,0.12806511
1986-01-15,Robert P Forrestal,Federal Reserve Bank of Atlanta,Governor,President,Atlanta,0.0,0.0,Federal Reserve Bank of Atlanta,-0.56130123,-1.2526038,-1.0946536,-0.46100223,0.8093544,-0.43321514,0.2001493,0.48926294,-0.28570265,-0.3286999,0.5558005,0.37520963,-0.06660128,-0.20569317,0.5836998,0.38746107,-0.11710787,-0.283303,0.053627253,0.0585967
1986-01-15,Robert P Forrestal,Federal Reserve Bank of Atlanta,Governor,President,Atlanta,0.0,0.0,Federal Reserve Bank of Atlanta,-2.5904686,-0.866787,-0.71023184,0.15271282,0.118879914,-0.090918064,0.06999254,0.35260093,0.48833305,0.1436094,0.30031687,-0.048057757,-0.5017308,-0.12979646,-0.14330408,0.28574073,0.13030279,-0.041718453,-0.13976091,0.07225564
1986-01-16,Robert P Forrestal,Federal Reserve Bank of Atlanta,Governor,President,Atlanta,0.0,0.0,Federal Reserve Bank of Atlanta,-1.59845,0.47139144,-0.59839314,-0.4925264,0.38125807,-0.00048696995,0.789618,0.183478,-0.8354772,-0.29809093,0.63984364,0.27511132,0.4457001,-0.3544134,1.0529867,0.65695745,0.19423795,-0.20098656,0.095351934,0.22189212
1986-01-28,Emmett John Rice,Board of Governors of the Federal Reserve,Board member,Member,New York,0.0,1.0,Board of Governors,0.028887033,1.74967,-0.19281703,1.0718977,0.23361352,-0.5979413,-0.55748725,0.26969135,-0.2388727,-0.3867405,-0.37986368,-0.19855946,-0.17617953,-0.04164885,0.05878544,0.4623351,-3.8802624e-05,-0.2350621,-0.19040108,0.34496424
1986-01-29,Paul A Volcker,Board of Governors of the Federal Reserve,Governor,Chair,Philadelphia,0.0,0.0,Board of Governors,1.4578979,1.0895061,1.0191028,0.93571246,-0.70893824,-0.9065844,0.36583185,-0.2724328,0.48181596,-0.6262672,-0.04965633,0.07674289,-0.04731506,0.34526843,0.5966471,-0.34898305,0.36270082,0.091588855,0.23559463,0.26104715
1986-02-03,Robert P Forrestal,Federal Reserve Bank of Atlanta,Governor,President,Atlanta,0.0,0.0,Federal Reserve Bank of Atlanta,-2.7640023,-0.56447023,-0.92514604,0.21833503,0.024521261,0.05912155,0.16529894,0.5117272,0.18816805,0.20906079,0.051765323,-0.04502926,-0.30650592,0.017331868,-0.06516513,0.3618924,0.1489929,-0.22004893,0.044535518,0.21337023
1986-02-05,Preston Martin,Board of Governors of the Federal Reserve,Deputy Governor,Vice Chair,San Francisco,0.0,0.0,Board of Governors,-0.58359766,0.6665894,-0.44013602,-1.0954593,0.47965187,-0.5427898,0.4672053,-0.33195174,-0.7613861,-0.3649192,0.5985574,0.22334412,0.20354402,-0.26457623,0.41695988,0.0417192,0.08034241,0.0037238896,0.0029045343,-0.07304831
1986-02-18,Robert T Parry,Federal Reserve Bank of San Francisco,Governor,President,San Francisco,0.0,0.0,Federal Reserve Bank of San Francisco,1.5153668,0.4956948,-0.2909724,-0.70742977,0.5255835,-0.339509,0.30919957,0.32630765,0.34304702,0.51839626,0.13475376,-0.11359607,-0.03388375,-0.038291343,0.04869446,-0.04075539,-0.34436142,0.032086715,-0.3805046,-0.010190308
