date,Atlanta,Boston,Chicago,Cleveland,Dallas,KC,Minneapolis,National,NY,Philadelphia,Richmond,SF,SL,Consensus
1970-05,-0.68,-0.88235294,-0.62962963,-0.625,-0.2,-0.36842105,-0.75,-1.0,-0.27272727,-0.5,-0.29411765,-0.42857143,-1.0,-0.55256833
1970-06,-0.58333333,-0.29411765,-0.6875,-0.56521739,-0.61290323,0.16666667,-0.89473684,-0.53333333,-0.85714286,-0.84615385,-0.75,-0.64705882,0.11111111,-0.53836552
1970-07,-0.33333333,-0.2,-0.46666667,-0.5,0.07692308,-0.52941176,-0.73913043,-0.37931034,-0.2,-0.77777778,-0.66666667,-0.6,-0.68421053,-0.46835617
1970-08,-0.69230769,0.07692308,-0.5,-0.36842105,-0.65217391,-0.6,-0.51724138,-0.77777778,-0.33333333,-0.81818182,-0.17647059,-0.64705882,-0.7,-0.49402213
1970-09,-0.47368421,-0.13043478,-0.42857143,-0.29411765,0.08333333,0.2,-0.7,-0.33333333,-0.04761905,-0.69230769,-0.04,-0.18518519,-0.30434783,-0.25107787
1970-10,-0.78947368,-0.16666667,-0.56521739,0.0,1.0,-0.47826087,-0.46153846,-0.71428571,-0.64705882,-0.75,-0.14285714,-0.33333333,-0.4,-0.31120053
1970-11,-0.40740741,-0.15789474,-0.36,-0.7,-0.44444444,-0.52,-0.78947368,-0.69230769,-0.57894737,-0.66666667,-0.33333333,-0.47368421,-0.46153846,-0.49111586
1970-12,-0.30769231,-0.57142857,-0.58333333,0.2,0.5,0.36842105,-0.52941176,-0.6875,-0.06666667,-0.66666667,-0.27272727,-0.33333333,-0.52941176,-0.23268755
1971-01,-0.2173913,,-0.24137931,0.125,0.06666667,-0.22580645,-0.52380952,-0.13333333,-0.38461538,-0.33333333,-0.08333333,-0.23076923,-0.17647059,-0.20229471
1971-02,-0.28571429,-0.05882353,-0.26315789,0.0,-0.25,0.33333333,-1.0,-0.55555556,-0.2,0.22222222,-0.33333333,-0.18181818,0.25,-0.14727431
1971-03,-0.46666667,-0.7,-0.1,-0.04347826,-0.36842105,0.0,-0.2,-0.5,-0.38461538,-0.6,0.64705882,-0.3,0.11111111,-0.20041762
1971-04,-0.25,-0.33333333,-0.66666667,-0.33333333,-0.625,-0.08333333,0.29411765,-0.68421053,-0.76470588,-0.64705882,0.04347826,-0.25,-0.23809524,-0.32116089
1971-05,-0.11111111,0.28571429,-0.18518519,0.0,-0.05263158,0.2,0.17647059,0.25,-0.15789474,0.14285714,0.36842105,-0.05263158,0.5,0.09283407
1971-06,0.1,-0.16666667,-0.27272727,0.15789474,-0.5,-0.37931034,0.27272727,0.27272727,-0.11111111,0.0,0.2,-0.05263158,0.04347826,-0.05902889
1971-07,-0.04347826,-0.23076923,0.0,-0.75,0.0,0.15789474,-0.14285714,-0.04761905,-0.68421053,-0.66666667,0.29411765,0.0,0.625,-0.12008079
1971-08,-0.4,-0.08333333,0.0,-0.52380952,0.625,-0.53846154,-0.23076923,-0.38888889,-0.625,-0.75,0.04761905,-0.28571429,-0.05882353,-0.23527437
1971-09,0.72727273,-0.07692308,0.17647059,0.09090909,-0.06666667,-0.06666667,0.33333333,0.29411765,0.14285714,0.28571429,0.36842105,0.375,0.52941176,0.2349278
1971-10,-0.12,0.0,-0.39130435,-0.33333333,0.76470588,-0.23529412,0.2,-0.18518519,0.2,-0.5,0.33333333,0.3,0.6,0.06817562
1971-11,-0.07692308,-0.71428571,-0.25925926,-0.27272727,0.33333333,-0.15789474,0.46666667,-0.2173913,-0.33333333,0.375,-0.47826087,-0.05882353,0.04761905,-0.09407406
1971-12,0.11111111,-0.04347826,0.11111111,-0.73913043,0.2,0.26666667,0.53846154,-0.40740741,-0.15789474,0.09090909,0.11111111,0.04761905,-0.16129032,0.03126633
1972-02,0.125,-0.125,0.18918919,0.0,-0.15151515,0.375,0.30434783,-0.13333333,-0.26315789,0.27272727,0.46666667,0.25,0.46666667,0.15916038
1972-03,0.53846154,0.0,-0.14285714,0.04347826,0.55555556,0.75,0.0,0.12,0.18181818,0.41666667,0.38461538,0.04347826,0.15384615,0.24375524
1972-04,0.53846154,0.06666667,0.33333333,0.45454545,0.38461538,0.82608696,0.2,0.42222222,-0.25,,0.4,0.48148148,0.2,0.33047189
1972-05,-0.04,-0.23076923,0.28571429,-0.33333333,0.5,0.78571429,0.55555556,-0.24137931,0.38461538,0.875,0.36842105,0.04347826,0.26315789,0.28812951
1972-06,0.27272727,0.38461538,-0.04,0.46666667,0.66666667,0.33333333,0.07692308,0.52631579,-0.42857143,0.71428571,0.45454545,0.15789474,0.6,0.30492391
1972-07,0.6,0.23809524,0.13333333,0.18181818,0.6,0.31034483,-0.21428571,0.22222222,-0.42857143,0.26315789,0.26315789,0.30769231,0.2,0.20456188
1972-08,-0.53846154,-0.125,0.44,0.2,0.35135135,0.7,0.28571429,0.24137931,0.07692308,0.23809524,0.39130435,0.26315789,0.52380952,0.23390785
1972-09,0.42857143,-0.09090909,0.1,0.33333333,0.11111111,0.25,0.9047619,0.5,0.15384615,0.71428571,0.26315789,0.45454545,0.33333333,0.32966977
