Date,Authorname,CentralBank,Role,position_in_fed,district,female,minority,federal_reserve,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19
1986-01-06,Robert P Forrestal,Federal Reserve Bank of Atlanta,Governor,President,Atlanta,0.0,0.0,Federal Reserve Bank of Atlanta,2.4413838,-0.8618144,0.2910981,0.36557543,0.28852445,1.8483517,-0.38193372,-0.18190406,-0.8657088,0.5902572,-0.33082178,-0.1315823,-0.8328973,-0.027649391,-0.24313079,0.116293944,0.27359208,-0.0050606704,-0.38828585,0.40361202
1986-01-08,Thomas C Melzer,Federal Reserve Bank of St Louis,Governor,President,St. Louis,0.0,0.0,Federal Reserve Bank of St. Louis,0.13193285,0.90710205,1.1778389,1.1739651,0.81236815,0.98454297,-1.931052,-1.0072687,-0.017746637,0.16331999,0.6036955,0.46872005,-0.3369015,-0.34272164,-0.64020336,0.4204617,0.014524839,0.123301625,-0.6813064,0.18625982
1986-01-15,Robert P Forrestal,Federal Reserve Bank of Atlanta,Governor,President,Atlanta,0.0,0.0,Federal Reserve Bank of Atlanta,2.4289155,0.0035007396,0.70294976,0.027560854,0.48512504,1.9346553,0.0016672191,2.2312174,-0.69136393,1.1165291,-0.7707114,-0.42376193,-0.7796719,0.3537967,0.011114282,-0.23156495,0.7970202,-0.4202645,-0.34340322,-0.06330008
1986-01-15,Robert P Forrestal,Federal Reserve Bank of Atlanta,Governor,President,Atlanta,0.0,0.0,Federal Reserve Bank of Atlanta,2.491797,0.72183394,0.4969686,0.56911737,0.67921174,2.0665057,-0.023940636,-0.33519852,-0.67336386,0.5587742,-0.119741604,-0.14113751,-0.86765844,-0.053539187,-0.48901162,-0.07964233,0.17344777,0.01594764,-0.310948,0.28208703
1986-01-16,Robert P Forrestal,Federal Reserve Bank of Atlanta,Governor,President,Atlanta,0.0,0.0,Federal Reserve Bank of Atlanta,3.5824785,0.49534905,-1.0618513,-1.3501432,0.50130177,1.1186721,-1.3014048,1.1066414,-0.1701129,0.99681187,-0.027483562,-0.5454126,-1.4906862,-0.16191015,0.55361265,-0.27150816,0.36038527,0.24216364,-0.5393902,-0.15133479
1986-01-28,Emmett John Rice,Board of Governors of the Federal Reserve,Board member,Member,New York,0.0,1.0,Board of Governors,-2.6602294,1.0064468,0.1810827,-0.5179042,0.5177084,0.47341946,-1.0349301,-1.5170517,-0.06901239,1.8554688,-0.14156058,0.39036715,0.25308725,-0.01952998,-0.015773831,0.5008403,-0.2598371,0.050335083,0.61667657,0.45726404
1986-01-29,Paul A Volcker,Board of Governors of the Federal Reserve,Governor,Chair,Philadelphia,0.0,0.0,Board of Governors,-3.5504565,-0.15790474,-0.94404876,-0.10780995,0.05025587,0.15690395,-1.0663061,-0.81009465,-0.43456542,1.1138533,0.17088701,-0.7285508,0.22070265,-0.1451882,-0.6305514,-0.06161885,0.051448837,0.073767476,-0.2785562,-0.17162955
1986-02-03,Robert P Forrestal,Federal Reserve Bank of Atlanta,Governor,President,Atlanta,0.0,0.0,Federal Reserve Bank of Atlanta,3.9265313,0.8968235,-0.43300936,-0.6036142,0.9132122,1.9987801,0.13780323,-0.49668705,-0.3851855,0.83990854,0.3497363,-0.16877148,-1.1131043,-0.119893685,-0.3452388,-0.17802696,-0.16492176,0.36926356,-0.3857652,0.3989217
1986-02-05,Preston Martin,Board of Governors of the Federal Reserve,Deputy Governor,Vice Chair,San Francisco,0.0,0.0,Board of Governors,-1.0408336,2.3989806,0.48335692,-0.6322573,0.7546811,0.4873406,-1.7159382,0.8486466,0.057018086,-0.19487266,-0.2563366,-0.3545169,-1.0826178,0.040620334,0.090886876,0.39212617,0.55778193,-0.49046052,0.13257799,0.4402077
1986-02-18,Robert T Parry,Federal Reserve Bank of San Francisco,Governor,President,San Francisco,0.0,0.0,Federal Reserve Bank of San Francisco,-2.9178424,-1.1980171,-1.5160408,0.16177344,0.5435678,-0.018613031,-1.625949,0.32936102,0.75867134,0.12556021,-1.015837,-4.2612333,1.138143,0.72226894,-1.2354614,-1.9776168,2.0031965,3.3433099,0.59540313,-0.5912114
