Date,Authorname,CentralBank,Role,position_in_fed,district,female,minority,federal_reserve,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19
1986-01-06,Robert P Forrestal,Federal Reserve Bank of Atlanta,Governor,President,Atlanta,0.0,0.0,Federal Reserve Bank of Atlanta,-10.134897,-1.546701,4.3477464,-0.5123102,-3.7334735,1.2292936,0.38293928,0.5214051,-0.99859893,-0.49333298,-0.35918257,0.096319675,0.4484476,1.3714988,-0.42198697,1.94352,-0.58586097,0.07989748,-1.0134761,-0.93920773
1986-01-08,Thomas C Melzer,Federal Reserve Bank of St Louis,Governor,President,St. Louis,0.0,0.0,Federal Reserve Bank of St. Louis,1.3434861,2.950309,4.2249575,-2.116182,-2.0789804,1.460333,1.0365965,2.2044294,0.2476349,-1.2028557,-0.07833854,2.5714912,0.04587749,0.9917207,0.29992273,-0.3086077,-0.80627453,-0.79071826,0.4279904,-0.62646323
1986-01-15,Robert P Forrestal,Federal Reserve Bank of Atlanta,Governor,President,Atlanta,0.0,0.0,Federal Reserve Bank of Atlanta,-8.177856,-0.04776542,3.2123158,-0.2160206,-2.0404696,2.8012214,-0.19686668,-3.31963,-2.4333692,1.0724586,0.021690348,-1.2455045,0.8268518,1.103334,-0.7229349,2.0462265,-1.2107519,0.29305905,-1.0369765,-0.18294115
1986-01-15,Robert P Forrestal,Federal Reserve Bank of Atlanta,Governor,President,Atlanta,0.0,0.0,Federal Reserve Bank of Atlanta,-6.9977875,3.915414,3.8066413,-0.19726723,-3.435166,0.45190316,0.756876,-0.13534513,-1.23697,-0.9630196,0.48338312,1.2793846,0.16129093,0.8495642,-1.1923678,1.3706542,-0.7303174,-0.20332052,-0.7083755,-1.019617
1986-01-16,Robert P Forrestal,Federal Reserve Bank of Atlanta,Governor,President,Atlanta,0.0,0.0,Federal Reserve Bank of Atlanta,-11.655667,3.867666,-4.8864574,1.391354,-1.3795214,2.6160026,-1.4031147,-1.2530494,-1.9046698,0.76682884,-2.0087411,-0.23643161,0.16312785,-0.068597436,-1.287654,2.0707972,-1.6427493,-0.8326234,1.3337717,0.85738665
1986-01-28,Emmett John Rice,Board of Governors of the Federal Reserve,Board member,Member,New York,0.0,1.0,Board of Governors,7.9828796,2.2127693,1.7737759,-0.9257341,-0.64175874,0.52210706,0.66167426,1.3437165,0.553647,-1.9958621,-0.9433114,1.3517987,-0.042261094,0.42753035,2.0309951,1.0239944,0.21403366,1.1909742,0.34053662,-1.8337418
1986-01-29,Paul A Volcker,Board of Governors of the Federal Reserve,Governor,Chair,Philadelphia,0.0,0.0,Board of Governors,12.361287,-0.72455484,-3.609375,-0.35735905,-0.26956058,0.16694696,-0.824286,1.4044877,0.48342973,-1.3404915,-1.1794152,0.01233576,1.0441128,0.549582,0.990121,0.4821402,-0.5542118,-1.2554864,0.28684646,-0.7787704
1986-02-03,Robert P Forrestal,Federal Reserve Bank of Atlanta,Governor,President,Atlanta,0.0,0.0,Federal Reserve Bank of Atlanta,-12.357059,7.9487786,4.4093847,1.5046692,-1.8752656,0.5934736,0.1784356,-1.0281603,-0.22231016,-1.9036242,-0.04927246,1.8247492,-0.23150264,0.99532235,-1.165784,1.5242548,-0.7829115,-0.7654277,-1.1230154,-1.4507682
1986-02-05,Preston Martin,Board of Governors of the Federal Reserve,Deputy Governor,Vice Chair,San Francisco,0.0,0.0,Board of Governors,5.2246184,5.625951,-0.46568936,0.9669177,-1.3340206,2.9301858,0.09763049,1.48569,-0.9305882,3.63499,-0.19076663,1.4131733,0.22911716,0.45533732,-0.17353559,0.4476493,-1.3812377,1.3038245,1.6747757,-0.7103574
1986-02-18,Robert T Parry,Federal Reserve Bank of San Francisco,Governor,President,San Francisco,0.0,0.0,Federal Reserve Bank of San Francisco,9.14328,-6.438921,-8.9198265,0.6321279,-1.1916084,2.4127073,-0.14393753,1.5975432,-0.4731884,1.5829154,-1.1321645,-2.0954282,1.7032168,1.6412218,-0.9640779,-0.37366137,0.21280438,0.9614432,0.1636339,-0.9735309
1986-02-19,Paul A Volcker,Board of Governors of the Federal Reserve,Governor,Chair,Philadelphia,0.0,0.0,Board of Governors,-10.985928,3.183512,-0.3099282,1.5453217,-2.2027597,1.383729,-1.1415306,0.09905234,-1.0883433,0.3824243,0.3859001,-0.33020684,-0.56980956,0.47346815,0.01810101,1.096891,-1.6503637,0.48473945,0.09492675,0.54050744
1986-02-20,Robert P Forrestal,Federal Reserve Bank of Atlanta,Governor,President,Atlanta,0.0,0.0,Federal Reserve Bank of Atlanta,-13.180602,1.6412832,5.142995,1.2455596,-3.286044,2.507066,-0.12430066,-0.796249,-1.2449225,-0.5721779,-0.40450343,0.33675754,0.14665323,0.85241926,-0.8422797,2.5100741,-1.7192233,-0.9107417,-0.7826585,-0.26843026
1986-02-26,Paul A Volcker,Board of Governors of the Federal Reserve,Governor,Chair,Philadelphia,0.0,0.0,Board of Governors,-9.167523,1.5549566,3.6878722,-0.52719885,0.62479496,1.6880505,-2.3951926,-1.4642884,-0.34325075,-0.93805355,0.9553248,-0.3271546,-0.12260074,0.72741264,0.96796083,1.0824536,-2.1901114,-0.90472555,-2.8242207,-0.20795347
1986-03-05,Preston Martin,Board of Governors of the Federal Reserve,Deputy Governor,Vice Chair,San Francisco,0.0,0.0,Board of Governors,9.253009,-0.48666784,-0.30587316,2.4317527,-1.3719374,1.5056709,-0.6690665,0.021189844,0.064583324,-1.712569,0.18493645,-0.09881196,0.6953972,1.4236375,0.78736395,-0.026636675,0.8303117,0.37241933,0.489679,-0.09059578
1986-03-06,Martha Romayne Seger,Board of Governors of the Federal Reserve,Board member,Member,Chicago,1.0,0.0,Board of Governors,9.357534,1.4561093,4.069338,0.098178744,0.35544506,1.3230494,0.87835723,-0.5814044,-1.0693812,-0.9996598,-0.11510666,0.37008497,2.0797749,1.7046033,-0.5979139,0.4209229,1.3107637,0.50950646,-0.5446889,-0.512183
1986-03-11,Thomas C Melzer,Federal Reserve Bank of St Louis,Governor,President,St. Louis,0.0,0.0,Federal Reserve Bank of St. Louis,0.49500224,0.3474711,1.5252608,4.7391357,-0.05117664,1.4725916,-0.5759036,1.4822088,1.2863294,-1.6624112,-0.75006497,-0.492951,0.50540036,1.0712168,2.1302674,-0.029984474,0.40287748,-1.2385459,0.9634928,0.08893943
1986-03-11,Preston Martin,Board of Governors of the Federal Reserve,Deputy Governor,Vice Chair,San Francisco,0.0,0.0,Board of Governors,-3.998941,-5.101744,8.17915,5.197686,-0.8349327,-2.130184,2.4881823,-2.2514067,1.5469109,-1.3631532,-0.87380433,1.4169307,-0.3702935,0.23584871,1.3828219,0.08523379,-1.1289645,-0.008965733,-0.76633805,-0.21800366
1986-03-13,Robert T Parry,Federal Reserve Bank of San Francisco,Governor,President,San Francisco,0.0,0.0,Federal Reserve Bank of San Francisco,-3.9393716,-7.832854,-10.96498,-0.6237602,-3.4742253,3.3341985,0.23804653,0.36958238,-0.19253781,2.713565,-0.5479205,-2.0495634,0.32259178,1.5555766,-1.6848592,1.1914446,-0.21110126,-0.2541973,0.7117798,-2.5378807
1986-03-19,Preston Martin,Board of Governors of the Federal Reserve,Deputy Governor,Vice Chair,San Francisco,0.0,0.0,Board of Governors,-7.2007394,0.04182337,1.4966199,-0.747536,-3.0504677,3.3872356,-0.76660144,0.7258779,0.1556458,1.9324161,-0.38842213,-2.6084232,-0.6740793,0.7565025,0.10364217,2.5815923,-1.2047019,0.15150681,-0.62842256,0.3353204
1986-04-09,Preston Martin,Board of Governors of the Federal Reserve,Deputy Governor,Vice Chair,San Francisco,0.0,0.0,Board of Governors,-0.6879164,-3.305925,6.420821,4.755675,-1.6718937,-1.1098233,2.0440176,-0.44763377,0.96733606,-1.1722338,-0.60784096,0.2586758,-1.1220673,-0.411369,-0.08306647,1.098198,-0.2674653,0.18314756,-0.94178194,-0.10318689
1986-04-15,Paul A Volcker,Board of Governors of the Federal Reserve,Governor,Chair,Philadelphia,0.0,0.0,Board of Governors,-13.705867,1.6625862,-1.8087637,1.5386521,-2.270863,1.9322826,-3.4431822,-2.115592,-0.8368669,0.1689469,-0.04755577,-1.0548953,-1.4393418,1.8419759,0.0028683562,1.4165969,-1.7684859,-0.21847704,-0.12046855,0.8351212
1986-04-22,Thomas C Melzer,Federal Reserve Bank of St Louis,Governor,President,St. Louis,0.0,0.0,Federal Reserve Bank of St. Louis,-18.524113,5.9410796,-2.5937164,-1.5326406,0.74883074,1.9049057,0.5418017,1.5486435,-0.19098148,0.04358925,-3.5865571,0.50036114,0.599182,1.5882397,-0.28163004,0.70489264,0.20217307,-0.4919237,-0.3797036,-0.021189624
1986-04-22,Wayne D Angell,Board of Governors of the Federal Reserve,Board member,Member,Kansas City,0.0,0.0,Board of Governors,-15.385685,-0.112405926,5.7400365,1.1666173,-1.8200977,3.745616,-1.5009338,-1.5037602,0.090958424,0.85373783,0.14067738,-0.016535202,1.0075692,0.19276053,-1.1284456,2.0581274,-2.2448428,-1.1336299,-2.0961807,1.5350318
1986-04-23,Paul A Volcker,Board of Governors of the Federal Reserve,Governor,Chair,Philadelphia,0.0,0.0,Board of Governors,-3.9146624,7.0834775,-3.0342503,4.1033325,-1.9155304,1.5264249,-0.36547774,-1.0031385,-1.2335458,-0.98842806,-0.4771921,2.0594385,-0.65378505,-0.82888174,0.59067506,-0.9169253,-1.1424787,-0.10543343,2.1006026,0.17969678
1986-04-26,Manuel H Johnson,Board of Governors of the Federal Reserve,Board member,Member,Richmond,0.0,0.0,Board of Governors,-9.590812,5.1267204,1.6877481,0.8114098,-2.3459134,1.0325156,-0.9736279,-2.2359788,-1.4880222,2.1640284,1.852044,-1.3898281,-1.0794466,1.612075,-0.69049865,0.28304443,-1.698527,1.2977228,-0.561936,0.06625039
1986-05-05,Thomas C Melzer,Federal Reserve Bank of St Louis,Governor,President,St. Louis,0.0,0.0,Federal Reserve Bank of St. Louis,12.481567,3.0742452,-1.809026,0.20565055,1.7477978,0.7494903,-0.091031685,0.45205882,-3.320862,0.22188796,-0.41625205,1.9204259,0.56283194,-1.6078213,0.41685262,-0.9459338,0.44379088,0.7101804,0.37631974,-0.5745574
1986-05-05,Paul A Volcker,Board of Governors of the Federal Reserve,Governor,Chair,Philadelphia,0.0,0.0,Board of Governors,-9.597162,4.4691486,-4.0000305,1.3822837,-3.074532,0.85116524,-3.628158,0.8395322,-0.48877496,-0.4691225,0.22418071,-1.1942227,-2.8697278,2.2669065,-0.62691236,0.29839033,-0.35828578,-0.41955683,-1.5038444,1.4419736
1986-05-07,Paul A Volcker,Board of Governors of the Federal Reserve,Governor,Chair,Philadelphia,0.0,0.0,Board of Governors,5.986818,-7.074288,0.6679415,6.531952,-1.273108,-1.7097787,1.5436258,0.29898545,1.377682,0.70486605,-0.22740874,-2.0885532,1.2874322,0.88801295,-0.28770864,0.4111651,1.7652819,-0.92692614,-0.38232413,0.6425252
1986-05-08,Paul A Volcker,Board of Governors of the Federal Reserve,Governor,Chair,Philadelphia,0.0,0.0,Board of Governors,-6.986605,-2.6503718,-0.4221709,2.3796327,-2.4033659,2.2664592,-2.3093283,-2.21284,-1.3635792,0.57030123,0.3928788,-0.36936456,-0.8453028,0.41993806,0.48449278,2.1373754,-2.6137435,-0.36368322,0.55183995,0.17371564
1986-05-13,Paul A Volcker,Board of Governors of the Federal Reserve,Governor,Chair,Philadelphia,0.0,0.0,Board of Governors,7.3113494,-8.196813,-0.9842665,5.881441,-2.0493627,-1.3528383,1.4858152,0.7298993,1.7336335,0.5859992,-0.44396168,-1.9329724,1.7500111,0.9923059,-0.25236687,0.89754975,1.868323,-0.31282175,-0.15061362,0.807114
1986-05-14,Robert P Forrestal,Federal Reserve Bank of Atlanta,Governor,President,Atlanta,0.0,0.0,Federal Reserve Bank of Atlanta,-8.548228,0.08562455,5.9592156,-3.2595062,-3.589391,0.94515514,0.80547625,-0.44835514,-1.0392404,-1.2620624,-0.10986151,0.17880456,0.020194866,0.5245393,0.054200094,0.6449343,-0.06447038,-1.4456575,-0.75735384,-0.20850864
1986-05-14,Martha Romayne Seger,Board of Governors of the Federal Reserve,Board member,Member,Chicago,1.0,0.0,Board of Governors,11.371651,-0.30462512,1.1074076,0.7640428,1.3804289,0.07007023,-0.0819937,1.002952,-0.21108179,-2.1218882,0.12189887,-1.8235531,1.0683062,1.24883,0.51439136,1.1483427,-0.3496855,0.28681484,0.1148322,-0.38631058
1986-05-15,Robert P Forrestal,Federal Reserve Bank of Atlanta,Governor,President,Atlanta,0.0,0.0,Federal Reserve Bank of Atlanta,5.886771,-3.069393,0.95829195,-2.321656,-3.4123683,-1.1770434,0.21460316,-3.360797,-0.79571897,0.94640964,-1.2911707,-1.5619503,-1.4576986,0.2054491,-0.026630444,0.80806774,0.743952,0.47459888,0.08467785,0.5392574
1986-05-21,Emmett John Rice,Board of Governors of the Federal Reserve,Board member,Member,New York,0.0,1.0,Board of Governors,11.8421,2.7386596,0.89199454,-0.83257586,2.3512177,-0.47877356,0.11378719,0.774752,-0.24963677,-2.717874,-1.3273851,0.78967226,0.8375165,0.75316674,1.5529637,0.040575653,-1.168202,-0.2721567,0.06310847,-0.5173315
1986-05-22,Thomas C Melzer,Federal Reserve Bank of St Louis,Governor,President,St. Louis,0.0,0.0,Federal Reserve Bank of St. Louis,4.713985,1.5957686,3.0223277,-0.22863819,-1.3759316,4.079725,0.65425915,0.8218306,0.4604684,2.7186968,-0.64338523,0.5708888,0.94203156,0.72783184,0.51947826,1.2660068,-0.6765303,0.16410506,-0.24721748,-0.7428606
1986-05-30,Emmett John Rice,Board of Governors of the Federal Reserve,Board member,Member,New York,0.0,1.0,Board of Governors,-10.209494,8.248633,-2.737275,-0.5036534,-1.8725638,0.7077376,0.51534444,2.7708313,-0.2486761,1.033471,-0.642251,-0.4380216,-1.2784916,1.5687938,1.5180213,0.40214276,-0.48163363,1.1406295,-0.07929209,-0.8958011
1986-06-04,Manuel H Johnson,Board of Governors of the Federal Reserve,Board member,Member,Richmond,0.0,0.0,Board of Governors,-8.661951,1.0688356,1.474436,-0.70584536,-2.6152046,5.3147864,-0.6174509,-1.5482435,-0.22669902,0.83027804,-1.2525926,-0.6380261,0.4656899,-0.39564052,-1.4580548,3.0679615,-0.9566364,-0.11825757,0.7473826,-0.0016681623
1986-06-04,Manuel H Johnson,Board of Governors of the Federal Reserve,Board member,Member,Richmond,0.0,0.0,Board of Governors,10.26574,-0.35521802,1.121612,-0.13365456,0.7985668,0.025459092,-0.078504995,0.99501127,-0.05012097,-1.7853191,-0.8274813,-1.0165671,1.1058974,1.2475698,1.1374551,0.29483968,-0.1787418,-0.30349743,0.063755594,-0.11413437
