max_encoder_length,min_encoder_length,n_pca,SPEECH_WINDOW_MONTHS,hidden_size,lstm_layers,attention_head_size,hidden_continuous_size,dropout,learning_rate,batch_size,Best_Validation_Loss,Trial_Number,Embedding,Seed
24,20,12,128,1,1,16,0.27451736331560445,0.04174234729489448,32,0.0006650302675552666,47,,mean,6,42
24,20,3,16,1,1,8,0.15141300851981881,0.00030455368715396805,16,0.0006785158184356987,3,fomc-roberta,mean,6,42
