max_encoder_length,n_pca,SPEECH_WINDOW_MONTHS,hidden_size,lstm_layers,attention_head_size,hidden_continuous_size,dropout,learning_rate,batch_size,Best_Validation_Loss,Trial_Number,Embedding,Aggregation,Horizon,Seed
12,20,12,128,1,2,8,0.22916808012914672,0.0016840915765622385,16,0.03229343518614769,39,,mean,6,42
12,10,3,64,4,4,16,0.2166297895325225,0.002972296252908071,32,0.03581582382321358,18,fomc-roberta,mean,6,42
